shot_id,shot_made_flag
1,0.4000996947288513
8,0.3932245373725891
17,0.6326016783714294
20,0.755722165107727
33,0.36426496505737305
34,0.47165220975875854
35,0.5609704256057739
36,0.515906810760498
37,0.682647705078125
38,0.3552672266960144
45,0.43498095870018005
50,0.3282228410243988
55,0.2873925268650055
60,0.3298335671424866
66,0.2369452267885208
67,0.3552710711956024
71,0.4591423571109772
80,0.232797309756279
85,0.28809890151023865
86,0.5539063215255737
95,0.5979902148246765
104,0.3481720983982086
113,0.39003756642341614
123,0.29006075859069824
126,0.8424340486526489
133,0.5767150521278381
141,0.19218741357326508
144,0.45308202505111694
150,0.703600287437439
152,0.4102933406829834
153,0.7022611498832703
156,0.32799389958381653
159,0.870933473110199
165,0.6303026080131531
172,0.48811057209968567
182,0.8981715440750122
192,0.46084609627723694
193,0.7029741406440735
196,0.4369276165962219
202,0.3744822144508362
210,0.3490007519721985
211,0.40065833926200867
228,0.9639747738838196
257,0.3971399664878845
260,0.39983367919921875
264,0.34660065174102783
267,0.6619648337364197
279,0.9007198810577393
282,0.3855142593383789
293,0.3500073552131653
299,0.8216614723205566
300,0.6319659948348999
301,0.8272010684013367
317,0.3113282322883606
327,0.38377663493156433
328,0.3138379454612732
335,0.3182859718799591
346,0.8182785511016846
348,0.2328176200389862
365,0.35371172428131104
390,0.7165237665176392
391,0.7244081497192383
392,0.8064232468605042
397,0.3406006991863251
418,0.4051700234413147
428,0.1573580950498581
434,0.6167886853218079
439,0.5092853307723999
440,0.42193979024887085
456,0.3431316018104553
459,0.2516050338745117
472,0.4705452620983124
480,0.2597639858722687
491,0.3602723777294159
497,0.37874656915664673
509,0.37491852045059204
511,0.3207402229309082
523,0.17125961184501648
533,0.4465571343898773
544,0.44429704546928406
546,0.33841565251350403
555,0.7076369524002075
558,0.3716942369937897
560,0.3338533639907837
573,0.322280615568161
591,0.4046309292316437
596,0.2668435275554657
597,0.3725111782550812
601,0.6177000999450684
605,0.42801129817962646
617,0.34445881843566895
628,0.2566887438297272
634,0.3920230567455292
646,0.30836179852485657
649,0.3414404094219208
651,0.7506612539291382
654,0.8142523765563965
656,0.4335944652557373
